Anseriformes
Pectoral Sandpiper, Calidris melanotos
Semipalmated Sandpiper, Calidris pusilla
Western Sandpiper, Calidris mauri
Short-billed Dowitcher, Limnodromus griseus
Long-billed Dowitcher, Limnodromus scolopaceus
Jack Snipe, Lymnocryptes minimus
American Woodcock, Scolopax minor
Common Snipe, Gallinago gallinago
Wilson's Snipe, Gallinago delicata
Terek Sandpiper, Xenus cinereus
Spotted Sandpiper, Actitis macularius
Solitary Sandpiper, Tringa solitaria
Gray-tailed Tattler, Tringa brevipes
Wandering Tattler, Tringa incana
Lesser Yellowlegs, Tringa flavipes
Willet, Tringa semipalmata
Spotted Redshank, Tringa erythropus
Common Greenshank, Tringa nebularia
Greater Yellowlegs, Tringa melanoleuca
Wood Sandpiper, Tringa glareola
Marsh Sandpiper, Tringa stagnatilis
Wilson's Phalarope, Phalaropus tricolor
Red-necked Phalarope, Phalaropus lobatus
Red Phalarope, Phalaropus fulicarius
South Polar Skua, Stercorarius maccormicki
Pomarine Jaeger, Stercorarius pomarinus
Parasitic Jaeger, Stercorarius parasiticus
Long-tailed Jaeger, Stercorarius longicaudus
Common Murre, Uria aalge
Thick-billed Murre, Uria lomvia
Pigeon Guillemot, Cepphus columba
Long-billed Murrelet, Brachyramphus perdix
Marbled Murrelet, Brachyramphus marmoratus
Kittlitz's Murrelet, Brachyramphus brevirostris
Scripps's Murrelet, Synthliboramphus scrippsi
Guadalupe Murrelet, Synthliboramphus hypoleucus
Craveri's Murrelet, Synthliboramphus craveri
Ancient Murrelet, Synthliboramphus antiquus
Cassin's Auklet, Ptychoramphus aleuticus
Parakeet Auklet, Aethia psittacula
Least Auklet, Aethia pusilla
Crested Auklet, Aethia cristatella
Rhinoceros Auklet, Cerorhinca monocerata
Horned Puffin, Fratercula corniculata
Tufted Puffin, Fratercula cirrhata
Swallow-tailed Gull, Creagrus furcatus
Black-legged Kittiwake, Rissa tridactyla
Red-legged Kittiwake, Rissa brevirostris
Ivory Gull, Pagophila eburnea
Sabine's Gull, Xema sabini
Bonaparte's Gull, Chroicocephalus philadelphia
Black-headed Gull, Chroicocephalus ridibundus
Little Gull, Hydrocoloeus minutus
Ross's Gull, Rhodostethia rosea
Laughing Gull, Leucophaeus atricilla
Franklin's Gull, Leucophaeus pipixcan
Belcher's Gull, Larus belcheri
Black-tailed Gull, Larus crassirostris
Heermann's Gull, Larus heermanni
Mew Gull, Larus canus
Ring-billed Gull, Larus delawarensis
Western Gull, Larus occidentalis
Yellow-footed Gull, Larus livens
California Gull, Larus californicus
Herring Gull, Larus argentatus
Iceland Gull, Larus glaucoides
Lesser Black-backed Gull, Larus fuscus
Slaty-backed Gull, Larus schistisagus
Glaucous-winged Gull, Larus glaucescens
Glaucous Gull, Larus hyperboreus
Great Black-backed Gull, Larus marinus
Kelp Gull, Larus dominicanus
Sooty Tern, Onychoprion fuscatus
Bridled Tern, Onychoprion anaethetus
Least Tern, Sternula antillarum
Gull-billed Tern, Gelochelidon nilotica
Caspian Tern, Hydroprogne caspia
Black Tern, Chlidonias niger
White-winged Tern, Chlidonias leucopterus - *PV
Common Tern, Sterna hirundo
Arctic Tern, Sterna paradisaea
Forster's Tern, Sterna forsteri
Royal Tern, Thalasseus maximus
Sandwich Tern, Thalasseus sandvicensis
Elegant Tern, Thalasseus elegans
Black Skimmer, Rynchops niger
Phaethontiformes
White-tailed Tropicbird, Phaethon lepturus
Red-billed Tropicbird, Phaethon aethereus
Red-tailed Tropicbird, Phaethon rubricauda
Gaviiformes
Red-throated Loon, Gavia stellata
Arctic Loon, Gavia arctica
Pacific Loon, Gavia pacifica
Common Loon, Gavia immer
Yellow-billed Loon, Gavia adamsii
Procellariiformes
White-capped Albatross, Thalassarche cauta
Salvin's Albatross, Thalassarche salvini
Chatham Albatross, Thalassarche eremita
Light-mantled Albatross, Phoebetria palpebrata
Wandering Albatross, Diomedea exulans
Laysan Albatross, Phoebastria immutabilis
Black-footed Albatross, Phoebastria nigripes
Short-tailed Albatross, Phoebastria albatrus
Wilson's Storm-Petrel, Oceanites oceanicus
Fork-tailed Storm-Petrel, Oceanodroma furcata
Ringed Storm-Petrel, Oceanodroma hornbyi
Leach's Storm-Petrel, Oceanodroma leucorhoa
Townsend's Storm-Petrel, Oceanodroma socorroensis
Ashy Storm-Petrel, Oceanodroma homochroa
Band-rumped Storm-Petrel, Oceanodroma castro
Wedge-rumped Storm-Petrel, Oceanodroma tethys
Black Storm-Petrel, Oceanodroma melania
Tristram's Storm-Petrel, Oceanodroma tristrami
Least Storm-Petrel, Oceanodroma microsoma
Northern Fulmar, Fulmarus glacialis
Great-winged Petrel, Pterodroma macroptera
Kermadec Petrel, Pterodroma neglecta
Murphy's Petrel, Pterodroma ultima
Mottled Petrel, Pterodroma inexpectata
Hawaiian Petrel, Pterodroma sandwichensis
Cook's Petrel, Pterodroma cookii
Stejneger's Petrel, Pterodroma longirostris
Bulwer's Petrel, Bulweria bulwerii
Jouanin's Petrel, Bulweria fallax
White-chinned Petrel, Procellaria aequinoctialis
Parkinson's Petrel, Procellaria parkinsoni
Streaked Shearwater, Calonectris leucomelas
Cory's Shearwater, Calonectris diomedea
Wedge-tailed Shearwater, Ardenna pacifica
Buller's Shearwater, Ardenna bulleri
Short-tailed Shearwater, Ardenna tenuirostris
Sooty Shearwater, Ardenna grisea
Great Shearwater, Ardenna gravis
Pink-footed Shearwater, Ardenna creatopus
Flesh-footed Shearwater, Ardenna carneipes
Manx Shearwater, Puffinus puffinus
Newell's Shearwater, Puffinus newelli
Black-vented Shearwater, Puffinus opisthomelas
Ciconiiformes
Wood Stork, Mycteria americana
Suliformes
Magnificent Frigatebird, Fregata magnificens
Great Frigatebird, Fregata minor
Lesser Frigatebird, Fregata ariel
Masked Booby, Sula dactylatra
Nazca Booby, Sula granti
Blue-footed Booby, Sula nebouxii
Brown Booby, Sula leucogaster
Red-footed Booby, Sula sula
Northern Gannet, Morus bassanus
Brandt's Cormorant, Phalacrocorax penicillatus
Neotropic Cormorant, Phalacrocorax brasilianus
Double-crested Cormorant, Phalacrocorax auritus
Pelagic Cormorant, Phalacrocorax pelagicus
Anhinga, Anhinga anhinga
Pelecaniformes
American White Pelican, Pelecanus erythrorhynchos
Brown Pelican, Pelecanus occidentalis
American Bittern, Botaurus lentiginosus
Least Bittern, Ixobrychus exilis
Great Blue Heron, Ardea herodias
Great Egret, Ardea alba
Snowy Egret, Egretta thula
Little Blue Heron, Egretta caerulea
Tricolored Heron, Egretta tricolor
Reddish Egret, Egretta rufescens
Cattle Egret, Bubulcus ibis
Green Heron, Butorides virescens
Black-crowned Night-Heron, Nycticorax nycticorax
Yellow-crowned Night-Heron, Nyctanassa violacea
White Ibis, Eudocimus albus
Glossy Ibis, Plegadis falcinellus
White-faced Ibis, Plegadis chihi
Roseate Spoonbill, Platalea ajaja
Cathartiformes
Black Vulture, Coragyps atratus
Turkey Vulture, Cathartes aura
California Condor, Gymnogyps californianus
Accipitriformes
Osprey, Pandion haliaetus
White-tailed Kite, Elanus leucurus
Swallow-tailed Kite, Elanoides forficatus
Golden Eagle, Aquila chrysaetos
Northern Harrier, Circus hudsonius
Sharp-shinned Hawk, Accipiter striatus
Cooper's Hawk, Accipiter cooperii
Northern Goshawk, Accipiter gentilis
Bald Eagle, Haliaeetus leucocephalus
Mississippi Kite, Ictinia mississippiensis
Common Black Hawk, Buteogallus anthracinus
Harris's Hawk, Parabuteo unicinctus
Gray Hawk, Buteo plagiatus
Red-shouldered Hawk, Buteo lineatus
Broad-winged Hawk, Buteo platypterus
Swainson's Hawk, Buteo swainsoni
Zone-tailed Hawk, Buteo albonotatus
Red-tailed Hawk, Buteo jamaicensis
Rough-legged Hawk, Buteo lagopus
Ferruginous Hawk, Buteo regalis
Strigiformes
Barn Owl, Tyto alba
Flammulated Owl, Psiloscops flammeolus
Western Screech-Owl, Megascops kennicottii
Great Horned Owl, Bubo virginianus
Snowy Owl, Bubo scandiacus
Northern Pygmy-Owl, Glaucidium gnoma
Elf Owl, Micrathene whitneyi
Burrowing Owl, Athene cunicularia
Spotted Owl, Strix occidentalis
Barred Owl, Strix varia
Great Gray Owl, Strix nebulosa
Long-eared Owl, Asio otus
Short-eared Owl, Asio flammeus
Northern Saw-whet Owl, Aegolius acadicus
Coraciiformes
Belted Kingfisher, Megaceryle alcyon
Piciformes
Eurasian Wryneck, Jynx torquilla
Lewis's Woodpecker, Melanerpes lewis
Red-headed Woodpecker, Melanerpes erythrocephalus
Acorn Woodpecker, Melanerpes formicivorus
Gila Woodpecker, Melanerpes uropygialis
Williamson's Sapsucker, Sphyrapicus thyroideus
Yellow-bellied Sapsucker, Sphyrapicus varius
Red-naped Sapsucker, Sphyrapicus nuchalis
Red-breasted Sapsucker, Sphyrapicus ruber
Black-backed Woodpecker, Picoides arcticus
Downy Woodpecker, Dryobates pubescens
Nuttall's Woodpecker, Dryobates nuttallii
Ladder-backed Woodpecker, Dryobates scalaris
Hairy Woodpecker, Dryobates villosus
White-headed Woodpecker, Dryobates albolarvatus
Northern Flicker, Colaptes auratus
Gilded Flicker, Colaptes chrysoides
Pileated Woodpecker, Dryocopus pileatus
Falconiformes
Crested Caracara, Caracara cheriway
Eurasian Kestrel, Falco tinnunculus
American Kestrel, Falco sparverius
Merlin Falco, columbarius
Gyrfalcon Falco, rusticolus
Peregrine Falcon, Falco peregrinus
Prairie Falcon, Falco mexicanus
Psittaciformes
Red-crowned Parrot, Amazona viridigenalis
Passeriformes
Dusky-capped Flycatcher, Myiarchus tuberculifer
Ash-throated Flycatcher, Myiarchus cinerascens
Nutting's Flycatcher, Myiarchus nuttingi
Great Crested Flycatcher, Myiarchus crinitus
Brown-crested Flycatcher, Myiarchus tyrannulus
Sulphur-bellied Flycatcher, Myiodynastes luteiventris
Tropical Kingbird, Tyrannus melancholicus
Couch's Kingbird, Tyrannus couchii
Cassin's Kingbird, Tyrannus vociferans
Thick-billed Kingbird, Tyrannus crassirostris
Western Kingbird, Tyrannus verticalis
Eastern Kingbird, Tyrannus tyrannus
Scissor-tailed Flycatcher, Tyrannus forficatus
Fork-tailed Flycatcher, Tyrannus savana
Olive-sided Flycatcher, Contopus cooperi
Greater Pewee, Contopus pertinax
Western Wood-Pewee, Contopus sordidulus
Eastern Wood-Pewee, Contopus virens
Yellow-bellied Flycatcher, Empidonax flaviventris
Alder Flycatcher, Empidonax alnorum
Willow Flycatcher, Empidonax traillii
Least Flycatcher, Empidonax minimus
Hammond's Flycatcher, Empidonax hammondii
Gray Flycatcher, Empidonax wrightii
Dusky Flycatcher, Empidonax oberholseri
Pacific-slope Flycatcher, Empidonax difficilis
Cordilleran Flycatcher, Empidonax occidentalis
Buff-breasted Flycatcher, Empidonax fulvifrons
Black Phoebe, Sayornis nigricans
Eastern Phoebe, Sayornis phoebe
Say's Phoebe, Sayornis saya
Vermilion Flycatcher, Pyrocephalus rubinus
Brown Shrike, Lanius cristatus
Loggerhead Shrike, Lanius ludovicianus
Northern Shrike, Lanius borealis
White-eyed Vireo, Vireo griseus
Bell's Vireo, Vireo bellii
Gray Vireo Vireo, vicinior
Hutton's Vireo, Vireo huttoni
Yellow-throated, Vireo Vireo flavifrons
Cassin's Vireo, Vireo cassinii
Blue-headed Vireo, Vireo solitarius
Plumbeous Vireo, Vireo plumbeus
Philadelphia Vireo, Vireo philadelphicus
Warbling Vireo, Vireo gilvus
Red-eyed Vireo, Vireo olivaceus
Yellow-green Vireo, Vireo flavoviridis
Canada Jay, Perisoreus canadensis
Pinyon Jay, Gymnorhinus cyanocephalus
Steller's Jay, Cyanocitta stelleri
Blue Jay, Cyanocitta cristata
Island Scrub-Jay, Aphelocoma insularis
California Scrub-Jay, Aphelocoma californica
Woodhouse's Scrub-Jay, Aphelocoma woodhouseii
Clark's Nutcracker, Nucifraga columbiana
Black-billed Magpie, Pica hudsonia
Yellow-billed Magpie, Pica nuttalli
American Crow, Corvus brachyrhynchos
Common Raven, Corvus corax
Eurasian Skylark, Alauda arvensis
Horned Lark, Eremophila alpestris
Purple Martin, Progne subis
Tree Swallow, Tachycineta bicolor
Violet-green Swallow, Tachycineta thalassina
Northern Rough-winged Swallow, Stelgidopteryx serripennis
Bank Swallow, Riparia riparia
Cliff Swallow, Petrochelidon pyrrhonota
Cave Swallow, Petrochelidon fulva
Barn Swallow, Hirundo rustica
Black-capped Chickadee, Poecile atricapillus
Mountain Chickadee, Poecile gambeli
Chestnut-backed Chickadee, Poecile rufescens
Oak Titmouse, Baeolophus inornatus
Juniper Titmouse, Baeolophus ridgwayi
Verdin Auriparus, flaviceps
Bushtit, Psaltriparus minimus
Red-breasted Nuthatch, Sitta canadensis
White-breasted Nuthatch, Sitta carolinensis
Pygmy Nuthatch, Sitta pygmaea
Brown Creeper, Certhia americana
Rock Wren, Salpinctes obsoletus
Canyon Wren, Catherpes mexicanus
House Wren, Troglodytes aedon
Pacific Wren, Troglodytes pacificus
Winter Wren, Troglodytes hiemalis
Sedge Wren, Cistothorus platensis
Marsh Wren, Cistothorus palustris
Bewick's Wren, Thryomanes bewickii
Cactus Wren, Campylorhynchus brunneicapillus
Blue-gray Gnatcatcher, Polioptila caerulea
California Gnatcatcher, Polioptila californica
Black-tailed Gnatcatcher, Polioptila melanura
American Dipper, Cinclus mexicanus
Golden-crowned Kinglet, Regulus satrapa
Ruby-crowned Kinglet, Regulus calendula
Dusky Warbler, Phylloscopus fuscatus
Arctic/Kamchatka Leaf Warbler, Phylloscopus borealis/examinandus
Wrentit, Chamaea fasciata
Lanceolated Warbler, Locustella lanceolata
Bluethroat, Cyanecula svecica
Red-flanked Bluetail, Tarsiger cyanurus
Taiga Flycatcher, Ficedula albicilla
Stonechat, Saxicola torquatus
Northern Wheatear, Oenanthe oenanthe
Western Bluebird, Sialia mexicana
Mountain Bluebird, Sialia currucoides
Townsend's Solitaire, Myadestes townsendi
Veery Catharus, fuscescens
Gray-cheeked Thrush, Catharus minimus
Swainson's Thrush, Catharus ustulatus
Hermit Thrush, Catharus guttatus
Wood Thrush, Hylocichla mustelina
Eyebrowed Thrush, Turdus obscurus
Rufous-backed Robin, Turdus rufopalliatus
American Robin, Turdus migratorius
Varied Thrush, Ixoreus naevius
Gray Catbird, Dumetella carolinensis
Curve-billed Thrasher, Toxostoma curvirostre
Brown Thrasher, Toxostoma rufum
Bendire's Thrasher, Toxostoma bendirei
California Thrasher, Toxostoma redivivum
LeConte's Thrasher, Toxostoma lecontei
Crissal Thrasher, Toxostoma crissale
Sage Thrasher, Oreoscoptes montanus
Northern Mockingbird, Mimus polyglottos
European Starling, Sturnus vulgaris
Bohemian Waxwing, Bombycilla garrulus
Cedar Waxwing, Bombycilla cedrorum
Phainopepla, Phainopepla nitens
Scaly-breasted Munia, Lonchura punctulata
House Sparrow, Passer domesticus
Eastern Yellow Wagtail, Motacilla tschutschensis
Citrine Wagtail, Motacilla citreola
Gray Wagtail, Motacilla cinerea
White Wagtail, Motacilla alba
Olive-backed Pipit, Anthus hodgsoni
Red-throated Pipit, Anthus cervinus
American Pipit, Anthus rubescens
Sprague's Pipit, Anthus spragueii
Brambling, Fringilla montifringilla
Evening Grosbeak, Coccothraustes vespertinus
Common Rosefinch, Carpodacus erythrinus
Pine Grosbeak, Pinicola enucleator
Gray-crowned Rosy-Finch, Leucosticte tephrocotis
Black Rosy-Finch, Leucosticte atrata
House Finch, Haemorhous mexicanus
Purple Finch, Haemorhous purpureus
Cassin's Finch, Haemorhous cassinii
Oriental Greenfinch, Chloris sinica
Common Redpoll, Acanthis flammea
Red Crossbill, Loxia curvirostra
White-winged Crossbill, Loxia leucoptera
Pine Siskin, Spinus pinus
Lesser Goldfinch, Spinus psaltria
Lawrence's Goldfinch, Spinus lawrencei
American Goldfinch, Spinus tristis
Lapland Longspur, Calcarius lapponicus
Chestnut-collared, Longspur Calcarius ornatus
Smith's Longspur, Calcarius pictus
McCown's Longspur, Rhynchophanes mccownii
Snow Bunting, Plectrophenax nivalis
Little Bunting, Emberiza pusilla
Rustic Bunting, Emberiza rustica
Green-tailed Towhee, Pipilo chlorurus
Spotted Towhee, Pipilo maculatus
Rufous-crowned Sparrow, Aimophila ruficeps
California Towhee, Melozone crissalis
Abert's Towhee, Melozone aberti
Cassin's Sparrow, Peucaea cassinii
American Tree Sparrow, Spizelloides arborea
Chipping Sparrow, Spizella passerina
Clay-colored Sparrow, Spizella pallida
Brewer's Sparrow, Spizella breweri
Field Sparrow, Spizella pusilla
Black-chinned Sparrow, Spizella atrogularis
Vesper Sparrow, Pooecetes gramineus
Lark Sparrow, Chondestes grammacus
Black-throated Sparrow, Amphispiza bilineata
Sagebrush Sparrow, Artemisiospiza nevadensis
Bell's Sparrow, Artemisiospiza belli
Lark Bunting, Calamospiza melanocorys
Savannah Sparrow, Passerculus sandwichensis
Grasshopper Sparrow, Ammodramus savannarum
Baird's Sparrow, Centronyx bairdii
LeConte's Sparrow, Ammospiza leconteii
Nelson's Sparrow, Ammospiza nelsoni
Fox Sparrow, Passerella iliaca
Song Sparrow, Melospiza melodia
Lincoln's Sparrow, Melospiza lincolnii
Swamp Sparrow, Melospiza georgiana
White-throated Sparrow, Zonotrichia albicollis
Harris's Sparrow, Zonotrichia querula
White-crowned Sparrow, Zonotrichia leucophrys
Golden-crowned Sparrow, Zonotrichia atricapilla
Dark-eyed Junco, Junco hyemalis
Yellow-breasted Chat, Icteria virens
Yellow-headed Blackbird, Xanthocephalus xanthocephalus
Bobolink, Dolichonyx oryzivorus
Western Meadowlark, Sturnella neglecta
Eastern Meadowlark, Sturnella magna
Orchard Oriole, Icterus spurius
Hooded Oriole, Icterus cucullatus
Streak-backed Oriole, Icterus pustulatus
Bullock's Oriole, Icterus bullockii
Baltimore Oriole, Icterus galbula
Scott's Oriole, Icterus parisorum
Red-winged Blackbird, Agelaius phoeniceus
Tricolored Blackbird, Agelaius tricolor
Bronzed Cowbird, Molothrus aeneus
Brown-headed Cowbird, Molothrus ater
Rusty Blackbird, Euphagus carolinus
Brewer's Blackbird, Euphagus cyanocephalus
Common Grackle, Quiscalus quiscula
Great-tailed Grackle, Quiscalus mexicanus
Ovenbird, Seiurus aurocapilla
Worm-eating Warbler, Helmitheros vermivorum
Louisiana Waterthrush, Parkesia motacilla
Northern Waterthrush, Parkesia noveboracensis
Golden-winged Warbler, Vermivora chrysoptera
Blue-winged Warbler, Vermivora cyanoptera
Black-and-white Warbler, Mniotilta varia
Prothonotary Warbler, Protonotaria citrea
Tennessee Warbler, Oreothlypis peregrina
Orange-crowned Warbler, Oreothlypis celata
Lucy's Warbler, Oreothlypis luciae
Nashville Warbler, Oreothlypis ruficapilla
Virginia's Warbler, Oreothlypis virginiae
Connecticut Warbler, Oporornis agilis
MacGillivray's Warbler, Geothlypis tolmiei
Mourning Warbler, Geothlypis philadelphia
Kentucky Warbler, Geothlypis formosa
Common Yellowthroat, Geothlypis trichas
Hooded Warbler, Setophaga citrina
American Redstart, Setophaga ruticilla
Cape May Warbler, Setophaga tigrina
Cerulean Warbler, Setophaga cerulea
Northern Parula, Setophaga americana
Tropical Parula, Setophaga pitiayumi
Magnolia Warbler, Setophaga magnolia
Bay-breasted Warbler, Setophaga castanea
Blackburnian Warbler, Setophaga fusca
Yellow Warbler, Setophaga petechia
Chestnut-sided Warbler, Setophaga pensylvanica
Blackpoll Warbler, Setophaga striata
Black-throated Blue Warbler, Setophaga caerulescens
Palm Warbler, Setophaga palmarum
Pine Warbler, Setophaga pinus
Yellow-rumped Warbler, Setophaga coronata
Yellow-throated Warbler, Setophaga dominica
Prairie Warbler, Setophaga discolor
Grace's Warbler, Setophaga graciae
Black-throated Gray Warbler, Setophaga nigrescens
Townsend's Warbler, Setophaga townsendi
Hermit Warbler, Setophaga occidentalis
Golden-cheeked Warbler, Setophaga chrysoparia
Black-throated Green Warbler, Setophaga virens
Canada Warbler, Cardellina canadensis
Wilson's Warbler, Cardellina pusilla
Red-faced Warbler, Cardellina rubrifrons
Painted Redstart, Myioborus pictus
Hepatic Tanager, Piranga flava
Summer Tanager, Piranga rubra
Scarlet Tanager, Piranga olivacea
Western Tanager, Piranga ludoviciana
Northern Cardinal, Cardinalis cardinalis
Pyrrhuloxia, Cardinalis sinuatus
Rose-breasted Grosbeak, Pheucticus ludovicianus
Black-headed Grosbeak, Pheucticus melanocephalus
Blue Grosbeak, Passerina caerulea
Lazuli Bunting, Passerina amoena
Indigo Bunting, Passerina cyanea
Varied Bunting, Passerina versicolor
Painted Bunting, Passerina ciris
Dickcissel, Spiza americana
